,checkin,checkout,location,price
0,2023-08-04,2023-08-05,오사카,76935
1,2023-08-04,2023-08-05,오사카,83519
2,2023-08-04,2023-08-05,오사카,92752
3,2023-08-04,2023-08-05,오사카,86761
4,2023-08-04,2023-08-05,오사카,69830
5,2023-08-04,2023-08-05,오사카,118726
6,2023-08-04,2023-08-05,오사카,95492
7,2023-08-04,2023-08-05,오사카,127859
8,2023-08-04,2023-08-05,오사카,74797
9,2023-08-04,2023-08-05,오사카,79208
10,2023-08-04,2023-08-05,오사카,66706
11,2023-08-04,2023-08-05,오사카,134252
12,2023-08-04,2023-08-05,오사카,109593
13,2023-08-04,2023-08-05,오사카,109429
14,2023-08-04,2023-08-05,오사카,114644
15,2023-08-04,2023-08-05,오사카,83373
16,2023-08-04,2023-08-05,오사카,114160
17,2023-08-04,2023-08-05,오사카,109593
